T dE/dx CSDARange
1.0 42.36765662455223 0.013717772951902992
1.25 35.710896055485044 0.02025612498716932
1.5 31.01384886746167 0.027743815478255936
1.75 27.50593983119367 0.03640506005601842
2.0 24.777388559334877 0.045880984626856997
2.25 22.589105392547356 0.05643553290866521
2.5 20.791710696407613 0.06816882180900809
2.75 19.28682273680166 0.08057531783408894
3.0 18.006873678368287 0.09395304002274137
3.5 15.942632890559638 0.12353343076256988
4.0 14.346682912762377 0.15661049062107965
4.5 13.073171956053072 0.19314712954568902
5.0 12.03164680042314 0.23305989435565705
5.5 11.162898483223398 0.276263224605851
6.0 10.426473100463081 0.32267214650017906
6.5 9.793750232068671 0.37215049260327493
7.0 9.243886783439823 0.4247575734673611
7.5 8.761328247081133 0.48036557188403195
8.0 8.33422170993156 0.5388772737708549
8.5 7.953370140387059 0.6003064450658934
9.0 7.611523583532038 0.6645991771709242
9.5 7.302886739531415 0.7316755903365797
10.0 7.022769378111639 0.8015108009516273
12.5 5.936245685163247 1.1904894070597882
15.0 5.190120516547621 1.6422176907546986
17.5 4.6449843951596375 2.1525222382106723
20.0 4.228795771970833 2.717502927272348
25.0 3.6347286710919193 3.998436865073788
27.5 3.4152747447444094 4.708473406522575
30.0 3.2310011426957694 5.4616603219671775
35.0 2.9389914493691545 7.087462587649279
40.0 2.718282658273588 8.858957790758732
45.0 2.545914876809227 10.76166138329637
50.0 2.407855376193137 12.782841468188536
55.0 2.295033461426934 14.9112419081697
60.0 2.2013200735712406 17.136975635250003
65.0 2.122422018533985 19.45122606182661
70.0 2.0552410196954476 21.84607953716833
75.0 1.9974842530004449 24.314608332547937
80.0 1.9474181564566109 26.850404479302217
85.0 1.9037074907828595 29.44779146013189
90.0 1.865307042524428 32.101663891533256
95.0 1.8313868921515986 34.8073597783259
100.0 1.8012796903962658 37.560664566721314
125.0 1.6919203129636515 51.91857766961124
150.0 1.6253245329038786 67.0166149637597
175.0 1.582587283920507 82.61871216811811
200.0 1.5544373509301292 98.56755350124554
225.0 1.5357236316539515 114.75480107599796
250.0 1.523373826537832 131.10424760052427
275.0 1.5154542027110989 147.5613694989324
300.0 1.510695227523664 164.0864573546963
350.0 1.5074706639564166 197.23160998475225
400.0 1.509428215899162 230.38518691651285
450.0 1.5143274065461705 263.46065898684896
500.0 1.520914495356901 296.4092985935688
550.0 1.5284542331878623 329.2043109380938
600.0 1.5365005461671504 361.8319016957922
650.0 1.5447762972841357 394.28627482735027
700.0 1.5531067330268375 426.56644497782025
750.0 1.5613809923448847 458.67435988894505
800.0 1.569529025993302 490.613763914817
850.0 1.5775073334904803 522.3894420257022
900.0 1.5852899236058209 554.0067463899061
950.0 1.5928624623199774 585.4712747031843
1000.0 1.600218416071902 616.7886859013016
1500.0 1.6626172149912517 923.0096256914677
2000.0 1.709383840129297 1219.406113575191
2500.0 1.7459734261026583 1508.707932934884
3000.0 1.7756868971495143 1792.594986079992
4000.0 1.821721473280524 2348.207414930772
5000.0 1.856389321110264 2891.7648027005266
6000.0 1.8838846022117943 3426.356292266295
7000.0 1.9064831641468072 3953.920722273829
8000.0 1.925547322483259 4475.7727564113675
9000.0 1.9419526829665077 4992.853844615762
10000.0 1.9562930946265051 5505.867432139184
