T dE/dx CSDARange
1.0 105.78724910005823 0.005781268946401375
1.25 90.7933235739431 0.008340919103408416
1.5 79.87140419560696 0.011283711990702936
1.75 71.52274522878085 0.014597268284990464
2.0 64.91101790637673 0.018271391818926785
2.25 59.53097471787953 0.02229746883728391
2.5 55.058400913068475 0.02666807338431935
2.75 51.27516072596936 0.031376697994358535
3.0 48.028782168624225 0.03641756328197481
3.5 42.735254467770886 0.047475740719916316
4.0 38.59094977771527 0.059806448918161816
4.5 35.24955508657838 0.07337913374281564
5.0 32.49277034765008 0.08816737391254602
5.5 30.17578194434322 0.10414790956956245
6.0 28.198532195801857 0.121299969590959
6.5 26.489548386158596 0.13960478810040214
7.0 24.996342083281206 0.15904524623733882
7.5 23.679452258303456 0.1796055999326948
8.0 22.508609598632077 0.20127126857181504
8.5 21.46018725534879 0.22402866789056403
9.0 20.515459613482914 0.2478650757589923
9.5 19.65938424838385 0.2727685228251586
10.0 18.879731770384957 0.2987277023768625
12.5 15.829128830171927 0.4440016884050996
15.0 13.706202064414446 0.6142497063227759
17.5 12.137566676851767 0.80850406329877
20.0 10.927948548613204 1.0259362886659829
25.0 9.17874890669721 1.527491635905259
27.5 8.524183516832307 1.8103631502540807
30.0 7.970195021760519 2.113881636079496
35.0 7.082427317593862 2.7808462220891497
40.0 6.401287810600801 3.5246563479016695
45.0 5.861390169922201 4.341974957922867
50.0 5.422488494112512 5.22976067865737
55.0 5.0584057184816995 6.185254393052024
60.0 4.751354548463721 7.205847430003926
65.0 4.488811275023075 8.289141393474385
70.0 4.26169441884994 9.432879694124466
75.0 4.06325289562116 10.634938519013177
80.0 3.8883602453209276 11.893311868642261
85.0 3.733051474691287 13.20610005592097
90.0 3.594210279822749 14.5714994846182
95.0 3.4693524870056245 15.98778607567349
100.0 3.356472788492545 17.453340384933814
125.0 2.923324163354736 25.467717742145318
150.0 2.6314168210250055 34.50562454998909
175.0 2.422107105218762 44.42639917492385
200.0 2.265329273599289 55.11328794363534
225.0 2.144044363539077 66.46826472097993
250.0 2.047861323660695 78.40819292310829
275.0 1.9700774930682234 90.86211707481941
300.0 1.906173143651799 103.76906471387137
350.0 1.8082489449613628 130.73829501582392
400.0 1.7377937046576601 158.97164821228515
450.0 1.6856088623949936 188.20585759922182
500.0 1.6459461624897627 218.23901711269977
550.0 1.6152836553617067 248.91525033755588
600.0 1.5913056911053622 280.1109711202716
650.0 1.5724048735259077 311.7271915305848
700.0 1.557432615867644 343.6838639691729
750.0 1.545547973379819 375.9158475259363
800.0 1.5361223759479015 408.36973465384136
850.0 1.528677560341072 441.00151051142495
900.0 1.5228439599608161 473.7746928031333
950.0 1.5183321077665717 506.65889036576567
1000.0 1.5149125498097102 539.6286931668856
1500.0 1.5130482651270254 870.6416262566006
2000.0 1.5327660526931095 1199.116483091688
2500.0 1.5564389073091924 1522.845273276961
3000.0 1.5797557372279594 1841.6885383241447
4000.0 1.6216579937624986 2466.22434795873
5000.0 1.657014985734446 3076.0643566069684
6000.0 1.6870132384493357 3674.0207096605527
7000.0 1.7128291278772616 4262.188424082575
8000.0 1.7353651024024783 4842.128822980505
9000.0 1.7552883893163091 5415.029701926745
10000.0 1.7730946167458215 5981.815178574792
