T dE/dx CSDARange
1.0 159.14335440972755 0.004320435382572751
1.25 138.9555722405956 0.006006066346017936
1.5 123.73400710540322 0.007916405344450556
1.75 111.81903453703563 0.010044982106755222
2.0 102.21546126274139 0.012386173007049722
2.25 94.29313673981419 0.014935089312351452
2.5 87.63389493394985 0.017687446481711222
2.75 81.94914662477461 0.020639453061039873
3.0 77.03308757085212 0.023787722406525408
3.5 68.94112576143237 0.030661126791298694
4.0 62.53942584455265 0.03828637817143191
4.5 57.334621446250786 0.046645509509611494
5.0 53.01067579032093 0.055723035381662886
5.5 49.355246037233414 0.06550538623279335
6.0 46.22007339294122 0.0759805095624165
6.5 43.49832110027643 0.08713757972872668
7.0 41.11093921236178 0.09896678106020125
7.5 38.99810941391952 0.11145914196824831
8.0 37.11368356532947 0.12460640555032274
8.5 35.42145687872269 0.13840092690837733
9.0 33.89260389195989 0.15283559043748265
9.5 32.50387331962433 0.1679037423152788
10.0 31.236291060554006 0.18359913474937758
12.5 26.249461776602022 0.27128915941427895
15.0 22.75187374608347 0.3738918740101702
17.5 20.15170576171854 0.4908972528620916
20.0 18.13662328916671 0.6218786130559779
25.0 15.205486591515958 0.9243401883655797
27.5 14.102822726762424 1.0952041464120517
30.0 13.166839968149135 1.2787946219709836
35.0 11.661151099460271 1.6831980456244962
40.0 10.50050496579446 2.135797296447445
45.0 9.576707230543208 2.635046678590079
50.0 8.822876963428849 3.1795564772013485
55.0 8.195354392341246 3.7680589443162322
60.0 7.664379039917419 4.399384672703112
65.0 7.208938751521548 5.072445522189888
70.0 6.81375878544983 5.786221863759155
75.0 6.4674584923102 6.539753005131397
80.0 6.16137818487636 7.332128975506611
85.0 5.888807483473254 8.16248520597276
90.0 5.644463100226457 9.029996995953587
95.0 5.4241265669597425 9.933875609745048
100.0 5.2243873862363515 10.873364840705978
125.0 4.452093447287302 16.08044885967816
150.0 3.924551685440809 22.07898969158526
175.0 3.5410432076274416 28.79914735650643
200.0 3.2496782062858194 36.18016948562712
225.0 3.0209243820514646 44.16847818195745
250.0 2.8367022656744 52.71636856977434
275.0 2.6853077749012932 61.78106316444558
300.0 2.558821360112199 71.32399177217944
350.0 2.3598944924713834 91.70800813165194
400.0 2.2111511185465575 113.62491407642898
450.0 2.0962925780685877 136.87113307067872
500.0 2.005382944120705 161.27566572000777
550.0 1.9320154513981298 186.69231804473532
600.0 1.8718714723964036 212.9966917881534
650.0 1.821933213407873 240.0816901692429
700.0 1.7800280915000508 267.8547778586866
750.0 1.7445522917505425 296.235643674939
800.0 1.7142962663791348 325.1541453817701
850.0 1.6883073439663303 354.54948948914716
900.0 1.6658079983212306 384.368763063427
950.0 1.6462327443171494 414.56603919983496
1000.0 1.6291332880790212 445.100986004519
1500.0 1.5381764486083251 762.7444961383762
2000.0 1.5125403412954759 1091.166316510063
2500.0 1.5095352114189695 1422.3125458309655
3000.0 1.515777275904399 1752.9640555954727
4000.0 1.5379883806508803 2408.1499397491916
5000.0 1.5630823238911455 3053.1066350804176
6000.0 1.587289680232729 3687.911626820873
7000.0 1.6097001067299708 4313.447669021425
8000.0 1.630208760277044 4930.698343753877
9000.0 1.6489480692240184 5540.565880394043
10000.0 1.6661089815101797 6143.8342244906835
